ID,GLOSS,URL
65225,book,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4
68208,book,https://www.youtube.com/watch?v=1QOYOZ3g-aY
07085,book,http://www.aslpro.com/main/b/book_english_grammar.swf
07086,book,http://www.aslpro.com/main/b/book_geography.swf
07087,book,http://www.aslpro.com/main/b/book_geometry.swf
07088,book,http://www.aslpro.com/main/b/book_history.swf
07089,book,http://www.aslpro.com/main/b/book_law.swf
07090,book,http://www.aslpro.com/main/b/book_literature.swf
07091,book,http://www.aslpro.com/main/b/book_math.swf
07092,book,http://www.aslpro.com/main/b/book_medicine.swf
07093,book,http://www.aslpro.com/main/b/book_music.swf
07094,book,http://www.aslpro.com/main/b/book_photography.swf
07095,book,http://www.aslpro.com/main/b/book_science.swf
07096,book,http://www.aslpro.com/main/b/book_spelling.swf
07097,book,http://www.aslpro.com/main/b/book.swf
07098,book,http://www.aslpro.com/main/b/book_trigonometry.swf
07071,book,https://www.handspeak.com/word/b/book2.mp4
07072,book,https://www.handspeak.com/word/b/book.mp4
07073,book,https://www.handspeak.com/word/b/books-pile.mp4
67424,book,https://youtu.be/3-GrhsVs830
07077,book,http://www.aslpro.com/main/b/book_accounting.swf
07078,book,http://www.aslpro.com/main/b/book_algebra.swf
07079,book,http://www.aslpro.com/main/b/book_anatomy.swf
07080,book,http://www.aslpro.com/main/b/book_art_history.swf
07081,book,http://www.aslpro.com/main/b/book_art.swf
07082,book,http://www.aslpro.com/main/b/book_business.swf
07083,book,http://www.aslpro.com/main/b/book_chemistry.swf
07084,book,http://www.aslpro.com/main/b/book_coloring.swf
68292,go,https://www.youtube.com/watch?v=7IkKMzvSsFM
24965,go,https://www.youtube.com/watch?v=jknOnIhAbNo
24971,go,https://www.youtube.com/watch?v=ZyL9f_qoGug
24972,go,http://www.aslpro.com/main/g/go.swf
65824,go,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/GO/GO-469.mp4
24948,go,https://www.handspeak.com/word/g/go.mp4
67715,go,https://youtu.be/QfVrSA3yrSc
24950,go,https://www.handspeak.com/word/g/go-to2.mp4
24951,go,https://www.handspeak.com/word/g/go-to.mp4
68406,no,https://www.youtube.com/watch?v=Dd95RFhtSs4
38542,no,http://www.aslpro.com/main/n/no.swf
38531,no,https://www.handspeak.com/word/n/no.mp4
66183,no,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/NO/NO-512.mp4
67934,no,https://youtu.be/jGsh6zd3eUQ
38536,no,https://www.youtube.com/watch?v=lgNwgl10VSg
64290,yes,https://www.handspeak.com/word/y/yes.mp4
66820,yes,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/YE/YES-1472.mp4
64298,yes,https://www.youtube.com/watch?v=wc2A8AZepy4
64299,yes,http://www.aslpro.com/main/y/yes.swf
64289,yes,https://www.handspeak.com/word/y/yes-fs.mp4
68214,friend,https://www.youtube.com/watch?v=25OsRZMSydI
68952,friend,https://www.youtube.com/watch?v=uvhVws-LlfM
65782,friend,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/FR/FRIEND-462.mp4
67691,friend,https://youtu.be/VXN_PVcYgKc
23577,friend,http://www.aslpro.com/main/f/friend.swf
23573,friend,https://www.handspeak.com/word/f/friend.mp4
